Sample	bp_processed	bp_written	percent_trimmed	r_processed	quality_trimmed	r_with_adapters
SRR1795021_1	2014446603	1982384465	1.5916102195139694	39498953	9196357	13434552
SRR1795021_2	2014446603	1953168322	3.0419411916276045	39498953	42531382	13357846
SRR1795022_1	2287426194	2249252689	1.6688409488415608	44851494	10007291	15642647
SRR1795022_2	2287426194	2215888866	3.1274157910600544	44851494	50627854	15123307
SRR1795023_1	1948942917	1911571886	1.917502594561624	38214567	8972772	13070246
SRR1795023_2	1948942917	1882882414	3.389555559774253	38214567	47988142	12881022
SRR1795024_1	2134181445	2094113366	1.8774448205363343	41846695	12675553	14328460
SRR1795024_2	2134181445	2062229556	3.3714044871194164	41846695	51977469	14258806
SRR1795025_1	1986453009	1951332184	1.768016904546872	38950059	9404339	13248181
SRR1795025_2	1986453009	1916475631	3.5227300964560593	38950059	51601899	13087962
SRR1795026_1	2080521693	2042720608	1.8169041508763542	40794543	11693740	13897511
SRR1795026_2	2080521693	2012039489	3.291588077663942	40794543	48980123	13878210
SRR1795027_1	1966346004	1932797846	1.7061167226803082	38555804	10865244	13212888
SRR1795027_2	1966346004	1911080382	2.8105746337408073	38555804	36867641	13136705
SRR1795028_1	2579437506	2535728162	1.6945300631757194	50577206	16592071	17354068
SRR1795028_2	2579437506	2503249470	2.953668612741339	50577206	51735461	17473231
SRR1795029_1	2789372900	2746725500	1.528924296927098	55787458	15479925	18892088
SRR1795029_2	2789372900	2708701387	2.8921021280446224	55787458	54072066	18681025
SRR1795030_1	2962556100	2918199715	1.4972335882517127	59251122	15486920	20103441
SRR1795030_2	2962556100	2882572564	2.699815068480897	59251122	51653195	19902554
SRR1795031_1	2908332300	2844125846	2.2076725551615954	58166646	36425320	19422860
SRR1795031_2	2908332300	2831480019	2.642486245467892	58166646	49226691	19504780
SRR1795032_1	2795147800	2752980233	1.508598829729147	55902956	14946658	18913998
SRR1795032_2	2795147800	2717148222	2.79053501213782	55902956	51423745	18732577
SRR1795033_1	2740892750	2701286232	1.445022538733046	54817855	12972746	18588679
SRR1795033_2	2740892750	2672637145	2.4902690920686332	54817855	41998609	18453293
SRR1795034_1	2865703750	2821484877	1.5430371335487836	57314075	16185638	19436713
SRR1795034_2	2865703750	2786325595	2.769935831643449	57314075	51861434	19239670
SRR1795035_1	3064374750	2999597294	2.1138881920365646	61287495	35343246	20493827
SRR1795035_2	3064374750	2980594479	2.7340086586994623	61287495	54655133	20543373
SRR1795036_1	2605715200	2567312263	1.4737964072205587	52114304	12999045	17663598
SRR1795036_2	2605715200	2531316614	2.8552078907165295	52114304	49579666	17472049
SRR1795037_1	2199346797	2161485658	1.7214719866664119	43124447	13536924	14800454
SRR1795037_2	2199346797	2127364947	3.272874023241183	43124447	51384449	14736926
SRR1795038_1	2245023825	2207779066	1.658991703573569	44020075	13916633	15108797
SRR1795038_2	2245023825	2170579760	3.315958796116562	44020075	53642301	14950807
SRR1795039_1	2313906465	2275658727	1.6529509113066072	45370715	13827545	15603528
SRR1795039_2	2313906465	2236040869	3.365114241988169	45370715	56197178	15532979
SRR1795040_1	2354084928	2314124880	1.697476905981873	46158528	14025674	15929457
SRR1795040_2	2354084928	2269969529	3.5731675607584537	46158528	62099331	15800791
SRR1795041_1	2167303803	2127858306	1.8200261977762053	42496153	15857412	14549338
SRR1795041_2	2167303803	2072826806	4.3591949070187646	42496153	74417700	14382939
SRR1795042_1	2407531449	2368110754	1.6373906565737242	47206499	15158801	16128821
SRR1795042_2	2407531449	2316169004	3.7948598776538764	47206499	68803007	16091353
SRR1795043_1	2625957717	2574775003	1.9491065552446594	51489367	18255224	17871445
SRR1795043_2	2625957717	2522457261	3.9414365025741196	51489367	79023596	17561016
SRR1795044_1	1951917696	1918970525	1.6879385369330653	38272896	12164775	13133585
SRR1795044_2	1951917696	1884121016	3.4733370233249836	38272896	49472532	13074598
SRR1795045_1	2356971222	2316797542	1.704462049643133	46215122	13721492	15869961
