Sample	Human counts	Human percentage	total_reads	Mouse counts	Mouse percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	No hits counts	No hits percentage
SRR1795021_1_screen	7053	7.05	99997	96765	96.77	1	0.0	81	0.08	3109	3.11
SRR1795021_2_screen	7528	7.529999999999999	99997	96136	96.13999999999999	1	0.0	82	0.08	3719	3.72
SRR1795022_1_screen	7024	7.029999999999999	99891	96382	96.48	2	0.0	78	0.08	3376	3.38
SRR1795022_2_screen	7223	7.24	99891	95790	95.88999999999999	2	0.0	74	0.07	3955	3.96
SRR1795023_1_screen	6817	6.8100000000000005	100038	96510	96.47000000000001	0	0.0	67	0.07	3421	3.42
SRR1795023_2_screen	7299	7.3	100038	95940	95.91000000000001	0	0.0	65	0.06	3971	3.97
SRR1795024_1_screen	7020	7.01	100111	96363	96.25999999999999	0	0.0	52	0.05	3644	3.64
SRR1795024_2_screen	5943	5.93	100111	92631	92.52	0	0.0	46	0.05	7368	7.36
SRR1795025_1_screen	7183	7.2	99871	96355	96.47999999999999	0	0.0	96	0.1	3375	3.38
SRR1795025_2_screen	7478	7.48	99871	95589	95.71	0	0.0	93	0.09	4134	4.14
SRR1795026_1_screen	7039	7.04	99986	96325	96.34	1	0.0	56	0.06	3569	3.57
SRR1795026_2_screen	6235	6.24	99986	92892	92.91	1	0.0	51	0.05	6959	6.96
SRR1795027_1_screen	6967	6.9799999999999995	99885	96511	96.62	0	0.0	56	0.06	3266	3.27
SRR1795027_2_screen	7182	7.1899999999999995	99885	95725	95.83999999999999	0	0.0	44	0.04	4055	4.06
SRR1795028_1_screen	7104	7.11	99954	96436	96.47999999999999	0	0.0	36	0.04	3438	3.44
SRR1795028_2_screen	7369	7.37	99954	95426	95.47	0	0.0	33	0.03	4417	4.42
SRR1795029_1_screen	7118	7.13	99977	97022	97.05	2	0.0	21	0.02	2889	2.89
SRR1795029_2_screen	7136	7.14	99977	95468	95.49000000000001	1	0.0	18	0.02	4438	4.44
SRR1795030_1_screen	7240	7.239999999999999	99917	97145	97.23	0	0.0	20	0.02	2707	2.71
SRR1795030_2_screen	7169	7.17	99917	95635	95.7	1	0.0	18	0.02	4216	4.22
SRR1795031_1_screen	7196	7.2	99942	97166	97.21	0	0.0	21	0.02	2718	2.72
SRR1795031_2_screen	7337	7.34	99942	95951	96.0	0	0.0	22	0.02	3927	3.93
SRR1795032_1_screen	7391	7.39	100005	97260	97.26	0	0.0	20	0.02	2680	2.68
SRR1795032_2_screen	7277	7.27	100005	95614	95.6	0	0.0	20	0.02	4320	4.32
SRR1795033_1_screen	7150	7.15	100032	97446	97.42	0	0.0	16	0.02	2530	2.53
SRR1795033_2_screen	7128	7.119999999999999	100032	96036	96.01	0	0.0	13	0.01	3941	3.94
SRR1795034_1_screen	7249	7.24	100024	97022	96.99999999999999	0	0.0	12	0.01	2950	2.95
SRR1795034_2_screen	7240	7.23	100024	95834	95.81	2	0.0	8	0.01	4130	4.13
SRR1795035_1_screen	7289	7.300000000000001	99979	96917	96.93999999999998	1	0.0	24	0.02	2999	3.0
SRR1795035_2_screen	7216	7.220000000000001	99979	95901	95.91999999999999	1	0.0	22	0.02	4019	4.02
SRR1795036_1_screen	7257	7.25	100027	97127	97.09	0	0.0	20	0.02	2840	2.84
SRR1795036_2_screen	7164	7.15	100027	95874	95.86000000000001	0	0.0	19	0.02	4091	4.09
SRR1795037_1_screen	7940	7.93	100056	96792	96.74	1	0.0	115	0.11	3041	3.04
SRR1795037_2_screen	8287	8.280000000000001	100056	95381	95.33	0	0.0	106	0.11	4452	4.45
SRR1795038_1_screen	8975	8.97	100045	96890	96.85	1	0.0	147	0.15	2841	2.84
SRR1795038_2_screen	8956	8.95	100045	95426	95.38000000000001	0	0.0	142	0.14	4321	4.32
SRR1795039_1_screen	7890	7.89	99935	96680	96.75	0	0.0	111	0.11	3038	3.04
