Sample	Total Sequences	per_tile_sequence_quality	total_deduplicated_percentage	per_sequence_quality_scores	%GC	basic_statistics	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	Sequence length	Filename	adapter_content	per_base_sequence_quality	overrepresented_sequences	sequence_length_distribution	per_base_sequence_content	per_sequence_gc_content	Total Bases	File type	per_base_n_content
SRR1795021_1	39498953.0	warn	47.2511159020996	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795021_1.fastq.gz	pass	pass	warn	pass	warn	pass	2 Gbp	Conventional base calls	pass
SRR1795021_2	39498953.0	pass	45.783805691012894	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795021_2.fastq.gz	pass	pass	pass	pass	warn	pass	2 Gbp	Conventional base calls	pass
SRR1795022_1	44851494.0	warn	39.14482353425435	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795022_1.fastq.gz	pass	pass	warn	pass	warn	pass	2.2 Gbp	Conventional base calls	pass
SRR1795022_2	44851494.0	pass	38.061872598336734	pass	46.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795022_2.fastq.gz	pass	pass	pass	pass	warn	pass	2.2 Gbp	Conventional base calls	pass
SRR1795023_1	38214567.0	pass	47.92640040848428	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795023_1.fastq.gz	pass	pass	warn	pass	warn	pass	1.9 Gbp	Conventional base calls	pass
SRR1795023_2	38214567.0	pass	47.012798542750254	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795023_2.fastq.gz	pass	pass	pass	pass	warn	pass	1.9 Gbp	Conventional base calls	pass
SRR1795024_1	41846695.0	pass	48.20147124135223	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795024_1.fastq.gz	pass	pass	warn	pass	warn	warn	2.1 Gbp	Conventional base calls	pass
SRR1795024_2	41846695.0	fail	58.03166203605854	pass	47.0	pass	0.0	warn	51.0	Sanger / Illumina 1.9	51.0	SRR1795024_2.fastq.gz	pass	fail	pass	pass	warn	pass	2.1 Gbp	Conventional base calls	fail
SRR1795025_1	38950059.0	warn	47.50715951575851	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795025_1.fastq.gz	pass	pass	warn	pass	warn	pass	1.9 Gbp	Conventional base calls	pass
SRR1795025_2	38950059.0	pass	46.706058573485336	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795025_2.fastq.gz	pass	pass	pass	pass	warn	pass	1.9 Gbp	Conventional base calls	pass
SRR1795026_1	40794543.0	pass	47.929953625467135	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795026_1.fastq.gz	pass	pass	warn	pass	warn	pass	2 Gbp	Conventional base calls	pass
SRR1795026_2	40794543.0	fail	59.592762085913684	pass	48.0	pass	0.0	warn	51.0	Sanger / Illumina 1.9	51.0	SRR1795026_2.fastq.gz	pass	fail	pass	pass	warn	pass	2 Gbp	Conventional base calls	fail
SRR1795027_1	38555804.0	pass	47.73153904259122	pass	48.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795027_1.fastq.gz	pass	pass	warn	pass	warn	pass	1.9 Gbp	Conventional base calls	pass
SRR1795027_2	38555804.0	pass	46.305483434660864	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795027_2.fastq.gz	pass	pass	pass	pass	warn	pass	1.9 Gbp	Conventional base calls	pass
SRR1795028_1	50577206.0	warn	45.225639261853814	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795028_1.fastq.gz	pass	pass	pass	pass	warn	pass	2.5 Gbp	Conventional base calls	pass
SRR1795028_2	50577206.0	pass	43.69905266792194	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795028_2.fastq.gz	pass	pass	pass	pass	warn	warn	2.5 Gbp	Conventional base calls	pass
SRR1795029_1	55787458.0	fail	50.63610944832655	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795029_1.fastq.gz	pass	pass	pass	pass	fail	warn	2.7 Gbp	Conventional base calls	pass
SRR1795029_2	55787458.0	fail	51.41949827378857	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795029_2.fastq.gz	pass	pass	pass	pass	fail	warn	2.7 Gbp	Conventional base calls	pass
SRR1795030_1	59251122.0	warn	49.5544147554128	pass	48.0	pass	0.0	fail	50.0	Sanger / Illumina 1.9	50.0	SRR1795030_1.fastq.gz	pass	pass	pass	pass	fail	warn	2.9 Gbp	Conventional base calls	pass
SRR1795030_2	59251122.0	warn	50.462401055818994	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795030_2.fastq.gz	pass	pass	pass	pass	fail	warn	2.9 Gbp	Conventional base calls	pass
SRR1795031_1	58166646.0	fail	51.62771989545904	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795031_1.fastq.gz	pass	fail	pass	pass	fail	warn	2.9 Gbp	Conventional base calls	pass
SRR1795031_2	58166646.0	pass	50.43902903589531	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795031_2.fastq.gz	pass	pass	pass	pass	fail	warn	2.9 Gbp	Conventional base calls	pass
SRR1795032_1	55902956.0	warn	50.37663279642549	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795032_1.fastq.gz	pass	pass	pass	pass	fail	warn	2.7 Gbp	Conventional base calls	pass
SRR1795032_2	55902956.0	warn	51.347794567367686	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795032_2.fastq.gz	pass	pass	pass	pass	fail	warn	2.7 Gbp	Conventional base calls	pass
SRR1795033_1	54817855.0	pass	50.74011134808822	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795033_1.fastq.gz	pass	pass	pass	pass	fail	warn	2.7 Gbp	Conventional base calls	pass
SRR1795033_2	54817855.0	fail	51.78453504649768	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795033_2.fastq.gz	pass	pass	pass	pass	fail	warn	2.7 Gbp	Conventional base calls	pass
SRR1795034_1	57314075.0	fail	50.12069220018236	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795034_1.fastq.gz	pass	pass	pass	pass	fail	pass	2.8 Gbp	Conventional base calls	pass
SRR1795034_2	57314075.0	warn	50.88611243489755	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795034_2.fastq.gz	pass	pass	pass	pass	fail	warn	2.8 Gbp	Conventional base calls	pass
SRR1795035_1	61287495.0	fail	51.26572241975018	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795035_1.fastq.gz	pass	fail	pass	pass	fail	warn	3 Gbp	Conventional base calls	pass
SRR1795035_2	61287495.0	pass	49.9052691918864	pass	48.0	pass	0.0	fail	50.0	Sanger / Illumina 1.9	50.0	SRR1795035_2.fastq.gz	pass	pass	pass	pass	fail	warn	3 Gbp	Conventional base calls	pass
SRR1795036_1	52114304.0	warn	51.191176221665266	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795036_1.fastq.gz	pass	pass	pass	pass	fail	warn	2.6 Gbp	Conventional base calls	pass
SRR1795036_2	52114304.0	fail	54.68849965034652	pass	48.0	pass	0.0	warn	50.0	Sanger / Illumina 1.9	50.0	SRR1795036_2.fastq.gz	pass	pass	warn	pass	fail	warn	2.6 Gbp	Conventional base calls	warn
SRR1795037_1	43124447.0	pass	45.34586851403047	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795037_1.fastq.gz	pass	pass	warn	pass	warn	pass	2.1 Gbp	Conventional base calls	pass
SRR1795037_2	43124447.0	pass	46.27626771071178	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795037_2.fastq.gz	pass	pass	pass	pass	warn	pass	2.1 Gbp	Conventional base calls	pass
SRR1795038_1	44020075.0	pass	43.87065265512457	pass	47.0	pass	0.0	fail	51.0	Sanger / Illumina 1.9	51.0	SRR1795038_1.fastq.gz	pass	pass	pass	pass	warn	pass	2.2 Gbp	Conventional base calls	pass
