Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
SRR1795021_1	52.7488840979004	51.0	9.090909090909092	48.0	39498953.0	1.5916102195139694
SRR1795021_2	54.216194308987106	51.0	9.090909090909092	47.0	39498953.0	3.0419411916276045
SRR1795022_1	60.85517646574565	51.0	9.090909090909092	47.0	44851494.0	1.6688409488415608
SRR1795022_2	61.938127401663266	51.0	9.090909090909092	46.0	44851494.0	3.1274157910600544
SRR1795023_1	52.07359959151572	51.0	9.090909090909092	48.0	38214567.0	1.917502594561624
SRR1795023_2	52.987201457249746	51.0	9.090909090909092	48.0	38214567.0	3.389555559774253
SRR1795024_1	51.79852875864777	51.0	9.090909090909092	48.0	41846695.0	1.8774448205363343
SRR1795024_2	41.96833796394146	51.0	27.27272727272727	47.0	41846695.0	3.3714044871194164
SRR1795025_1	52.49284048424149	51.0	9.090909090909092	48.0	38950059.0	1.768016904546872
SRR1795025_2	53.293941426514664	51.0	9.090909090909092	48.0	38950059.0	3.5227300964560593
SRR1795026_1	52.070046374532865	51.0	9.090909090909092	48.0	40794543.0	1.8169041508763542
SRR1795026_2	40.407237914086316	51.0	27.27272727272727	48.0	40794543.0	3.291588077663942
SRR1795027_1	52.26846095740878	51.0	9.090909090909092	48.0	38555804.0	1.7061167226803082
SRR1795027_2	53.694516565339136	51.0	9.090909090909092	47.0	38555804.0	2.8105746337408073
SRR1795028_1	54.774360738146186	51.0	9.090909090909092	47.0	50577206.0	1.6945300631757194
SRR1795028_2	56.30094733207806	51.0	9.090909090909092	47.0	50577206.0	2.953668612741339
SRR1795029_1	49.36389055167345	50.0	18.181818181818183	48.0	55787458.0	1.528924296927098
SRR1795029_2	48.58050172621143	50.0	18.181818181818183	48.0	55787458.0	2.8921021280446224
SRR1795030_1	50.4455852445872	50.0	18.181818181818183	48.0	59251122.0	1.4972335882517127
SRR1795030_2	49.537598944181006	50.0	9.090909090909092	48.0	59251122.0	2.699815068480897
SRR1795031_1	48.37228010454096	50.0	27.27272727272727	48.0	58166646.0	2.2076725551615954
SRR1795031_2	49.56097096410469	50.0	9.090909090909092	48.0	58166646.0	2.642486245467892
SRR1795032_1	49.62336720357451	50.0	9.090909090909092	48.0	55902956.0	1.508598829729147
SRR1795032_2	48.652205432632314	50.0	9.090909090909092	48.0	55902956.0	2.79053501213782
SRR1795033_1	49.25988865191178	50.0	9.090909090909092	48.0	54817855.0	1.445022538733046
SRR1795033_2	48.21546495350232	50.0	18.181818181818183	48.0	54817855.0	2.4902690920686332
SRR1795034_1	49.87930779981764	50.0	18.181818181818183	48.0	57314075.0	1.5430371335487836
SRR1795034_2	49.11388756510245	50.0	9.090909090909092	48.0	57314075.0	2.769935831643449
SRR1795035_1	48.73427758024982	50.0	27.27272727272727	48.0	61287495.0	2.1138881920365646
SRR1795035_2	50.0947308081136	50.0	18.181818181818183	48.0	61287495.0	2.7340086586994623
SRR1795036_1	48.808823778334734	50.0	9.090909090909092	48.0	52114304.0	1.4737964072205587
SRR1795036_2	45.31150034965348	50.0	18.181818181818183	48.0	52114304.0	2.8552078907165295
SRR1795037_1	54.65413148596953	51.0	9.090909090909092	47.0	43124447.0	1.7214719866664119
SRR1795037_2	53.72373228928822	51.0	9.090909090909092	47.0	43124447.0	3.272874023241183
SRR1795038_1	56.12934734487543	51.0	9.090909090909092	47.0	44020075.0	1.658991703573569
SRR1795038_2	54.4911933584624	51.0	9.090909090909092	47.0	44020075.0	3.315958796116562
SRR1795039_1	54.411612915512585	51.0	9.090909090909092	47.0	45370715.0	1.6529509113066072
SRR1795039_2	53.450412335288334	51.0	9.090909090909092	47.0	45370715.0	3.365114241988169
SRR1795040_1	54.48961150901614	51.0	9.090909090909092	47.0	46158528.0	1.697476905981873
SRR1795040_2	53.702557247305734	51.0	9.090909090909092	47.0	46158528.0	3.5731675607584537
