Run	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	genotype	GEO_Accession (exp)	housing_condition	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sex	source_name	SRA Study	strain	tissue	create_date	version
SRR1795021	2 month	RNA-Seq	102	4028893206	PRJNA274985	SAMN03334121	2556739664	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870391	Het (Q111) Knock-In	GSM1605718	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605718	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
SRR1795022	2 month	RNA-Seq	102	4574852388	PRJNA274985	SAMN03334515	2882863739	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870392	Het (Q111) Knock-In	GSM1605719	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605719	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795023	2 month	RNA-Seq	102	3897885834	PRJNA274985	SAMN03334610	2451464322	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870393	Het (Q111) Knock-In	GSM1605720	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605720	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:42:00Z	1
SRR1795024	2 month	RNA-Seq	102	4268362890	PRJNA274985	SAMN03334082	2876612237	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870394	Het (Q111) Knock-In	GSM1605721	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605721	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795025	2 month	RNA-Seq	102	3972906018	PRJNA274985	SAMN03333818	2539746174	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870395	Het (Q111) Knock-In	GSM1605722	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605722	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:46:00Z	1
SRR1795026	2 month	RNA-Seq	102	4161043386	PRJNA274985	SAMN03334370	2787710300	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870396	Het (Q111) Knock-In	GSM1605723	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605723	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795027	2 month	RNA-Seq	102	3932692008	PRJNA274985	SAMN03333852	2591433578	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870397	Het (Q111) Knock-In	GSM1605724	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605724	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:40:00Z	1
SRR1795028	2 month	RNA-Seq	102	5158875012	PRJNA274985	SAMN03334182	3517418116	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870398	Het (Q111) Knock-In	GSM1605725	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605725	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:47:00Z	1
SRR1795029	6 month	RNA-Seq	100	5578745800	PRJNA274985	SAMN03334603	3665952544	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870399	Het (Q111) Knock-In	GSM1605726	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605726	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795030	6 month	RNA-Seq	100	5925112200	PRJNA274985	SAMN03334458	3879788326	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870400	Het (Q111) Knock-In	GSM1605727	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605727	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
